macbook,macbook pro 2 years old,outdoor,MUMBAI
Trek 2.1 Roadbike,"Trek's 2.1 boasts a lightweight Alpha Black aluminum frame with a road-carving carbon fork. The hill-conquering Shimano drivetrain and Bontrager's SSR wheelset will have you rolling farther and faster than you thought possible. Plus, it sports a fine selection of Bontrager components, too, including a comfy saddle and a carbon seatpost.",Bicycle,MUMBAI
2 Person Tent,"Condition:Very Good.100% waterproof
\
Weight ~3Kgs, Six tents fit in one trekking bag. Extremely easy to pitch and high endurance to wind.
\
\
When packed/rolled:
\
Diameter: 5 inches
\
Length: 18 inches
\
\
When pitched on ground:
\
2.5*1.5 meters",Outdoor,MUMBAI
4 Person Tent,"Condition:Very Good
\
100% waterproof
\
Weight ~3Kgs,
\
Four tents fit in one trekking bag
\
Extremely easy to pitch
\
High endurance to wind	
\
\
When packed/rolled:
\
Diameter: 6 inches
\
Length: 20 inches
\
\
When pitched on ground:
\
2.5*1.5 meters",Outdoor,MUMBAI
Sleeping Bags,"Condition:Very Good
\
Weight ~500 Gms,
\
4 Fits easily in a laptop bag
\
With and without chain",Outdoor,MUMBAI
Camping Mats,"Condition:Very Good
\
Weight ~80 Gms,
\
Can be rolled and tied outside your bag",Outdoor,MUMBAI
Trekking bags/ backpacks,"Ultralight series
\
Capacity: 50 / 60 / 70 liters",Outdoor,MUMBAI
Hercules Roadeo Crosswind,An easy to maintain comfortable cycle suitable for city roads.,Bicycle,MUMBAI
Quechua Tent for 2,"Enjoy camping in this cozy tent ideal for 2 people. 
\
Compact and easy to pitch and pack, enjoy the comfort of this tent in your next outdoor adventure.",Outdoor,MUMBAI
Quechua Tent for 3,\,,
Quechua 3XL Tent for 5,\,,
Quechua Sleeping Bag S20,"Weighing 1.2 kgs, this sturdy sleeping bag will make you feel comfortable after a tough days trek/hike",Outdoor,MUMBAI
Black Magic 4K,"The world’s smallest super wide dynamic range PL mount 4K digital film camera features cinematic Super 35 sized sensor with global shutter. Includes 12 stops of dynamic range, built in 4K RAW and ProRes SSD recorder, touch screen with metadata entry, strong machined aluminum chassis and more. Includes DaVinci Resolve software for a complete solution for shooting, editing, color correcting and finishing 4K digital film",Camera,MUMBAI
Canon 1DC,"The EOS-1D C - the first Canon hybrid DSLR to offer onboard 4K motion imaging and Full HD motion imaging on CF cards, in a rugged, ultra-compact form factor. Weight (without eye -cup):1545g",Camera,MUMBAI
Canon 5D mark II,"The EOS 5D Mark II has a stunning 21.1-megapixel full-frame CMOS sensor with DIGIC 4 Image Processor, a vast ISO Range of 100-6400 (expandable to ISO L: 50, H1: 12800 and H2: 25600), plus EOS technologies like Auto Lighting Optimizer and Peripheral Illumination Correction. Weight(Body only): 810g",Camera,MUMBAI
Canon 5D Mark III,"With supercharged EOS performance and stunning full frame, high-resolution image capture, the EOS 5D Mark III is designed to perform. Special optical technologies like the 61-Point High Density Reticular AF and an extended ISO range of 100–25600 make the it ideal for shooting weddings in the studio or out in the field, and great for still photography. Weight: 860g",Camera,MUMBAI
Canon 7D,"With a host of features designed to enhance every facet of the photographic process, from still images to video, the EOS 7D represents an advanced class of camera. Made to be the tool of choice for serious photographers and semi-professionals, the EOS 7D features an 18.0 Megapixel APS-C size CMOS sensor and Dual DIGIC 4 Image Processors.Weight(Body only):820g",Camera,MUMBAI
Canon 8mm to 15mm L Series fisheye F4,"This lens delivers 180° diagonal angle of view images for all EOS SLR cameras with imaging formats ranging from full-frame to APS-C, and provides 180° circular fisheye images for full-frame EOS models. The finest optics, the best construction and the best performance available, all in a single lens which stimulates creativity and delivers stunning images every time. Weight: 540g",Camera,MUMBAI
Canon 10 - 22mm EFS. F3.5-5.6,Canon EF-S 10-22mm f/3.5-5.6 USM Lens provides EF-S compatible camera body owners with the ultra-wide angle focal lengths. Weight: 385g,Camera,MUMBAI
Canon 16-35 L Series F2.8,"Good as a full-frame, wide field of view, low light lens. This is a very nice handling and carrying lens. Can be used for light group as well as wide landscape photography. Weight: 600g ",Camera,MUMBAI
Canon 16-35 L2 Series F2.8,This ultra-wide lens has become a new standard for all kinds of photographers for landscape photography. It can be used for architecture and real estate photography. It's an amazing lens to use underwater as well. Weight: 640g,Camera,MUMBAI
Quechua Tent for 2,"Enjoy camping in this cozy tent ideal for 2 people. 
\
Compact and easy to pitch and pack, enjoy the comfort of this tent in your next outdoor adventure. Very easy to pitch and pack",Outdoor,MUMBAI 
Canon 18-200mm. EFS. F3.5-5.6,This is a good travel lens. This lens offers a great focal length range and excellent image stabilization in a compact package. Weight: 600g,Camera,MUMBAI
Canon 24-70 L Series F2.8,"The Canon EF 24-70mm f/2.8L USM Lens is an impressively high performing zoom lens. It is regarded as one of the best general purpose lenses available and for the same reasons, it is one of the most-professionally-used Canon lenses. Can be used in various genres right from wedding photography to landscape photography. Weight: 950g",Camera,MUMBAI
Canon 24-70 L2 Series F2.8,"This lens is very sharp/has excellent contrast across the frame even at f/2.8 and is well built, focuses extremely fast and contains a most-used range of focal lengths. Weight: 805g",Camera,MUMBAI
Canon 24-105 L Series F4,"This is one of the best and most popular Canon general purpose lenses made. Good for indoor event photography. 
\
Weight: 670g",Camera,MUMBAI
Canon 35mm L series F1.4,"The EF 35mm f/1.4L USM Lens is a really nice and very well regarded Canon prime lens. This lens can be ideal for loosely cropped full body portraits - especially in limited space situations. Low light handholdability, makes it suitable for wedding photography. Weight: 580g",Camera,MUMBAI
Canon 50mm F1.4,"This is a sharp, small, light, inexpensive and with an f1.4 aperture, fast lens which gives great image quality. Useful for low-light indoor photography,full body portraits and serves as a good travel lens too. Weight: 290g",Camera,MUMBAI
Canon 50mm F1.8,"Currently the canon's lightest lens, delivers a very sharp image. Lens is good for low-light indoor photography, full body portraits as well as travel. Weight: 130g",Camera,MUMBAI
Canon 50mm L Series F1.2,The EF 50mm f/1.2L USM is a peerless new standard lens featuring an ultra-large aperture for a narrow depth of field and soft background blur. It is suitable for any shooting situation; its construction minimizes ghosting and flare that frequently occurs when lenses are used with digital cameras. Weight: 545g,Camera,MUMBAI
Canon 70-200 L Series F2.8 IS 2,"One of the finest telephoto zoom lenses in the EF line, comparable to a single focal length lens. It has four UD-glass elements to correct chromatic aberrations. Its constant f/2.8 maximum aperture and superb image quality make it one of the most popular professional SLR lenses in the world. Weight: 1310g",Camera,MUMBAI
Canon 70-200 L Series F2.8 IS 2,"One of the finest telephoto zoom lenses in the EF line, comparable to a single focal length lens. It has four UD-glass elements to correct chromatic aberrations. Its constant f/2.8 maximum aperture and superb image quality make it one of the most popular professional SLR lenses in the world. Weight: 1310g",Camera,MUMBAI
Canon 70-200 L Series F2.8 IS 2,"One of the finest telephoto zoom lenses in the EF line, comparable to a single focal length lens. It has four UD-glass elements to correct chromatic aberrations. Its constant f/2.8 maximum aperture and superb image quality make it one of the most popular professional SLR lenses in the world. Weight: 1310g",Camera,MUMBAI
Canon 70D,"Dual Pixel CMOS AF-this game-changing technology allows the EOS 70D to capture video in Live View with smooth and precise autofocus similar to that of a camcorder, complete with the superb image quality that is a hallmark of EOS cameras. In-camera imaging features like HDR, HDR Backlight Control, Multiple Exposure, Handheld Night Scene, and Creative Filters available in real time help turn even simple images into spectacular photos. Weight(Body only): 675g",Camera,MUMBAI
Canon 85mm L Series F1.2,"With a large maximum aperture of f/1.2, this is the fastest 85mm telephoto lens in its class. One Aspherical lens element and two high-refraction elements give sharp images with little flare even at maximum aperture. The floating system corrects coma for high image quality. Weight: 1025g",Camera,MUMBAI
Canon 100-400mm F4.5-5.6 L series IS lens,The Canon EF 100-400mm f/4.5-5.6L IS USM Lens has an excellent focal length range that includes the longest focal length found in a Canon zoom lens - 400mm. This long focal length and focal length range combine with very good image and build quality to make the 100-400 L one of the most popular serious wildlife and sports lenses Canon sells. Weight: 1380g,Camera,MUMBAI
Portable Camping Tent (3-4 people),The tent is designed to house 3 adults comfortably & 4 adults Max. This dome shaped tent is has one main room inside it. There are two vents that allow fresh air to flow through it. The hollow pole used to prop up the tent is made of high quality fiberglass. Unlike other tents this is not only light weighted but can be set-up in less than two minute! Just carry your tent along!  The large front entrance is equipped with a 2-way zipper mesh closure and zippered storm flaps.,Outdoor,Mumbai 
Canon 100mm F2,"Along with good contrast and saturation, Low light action sports is a specific task the 100 f/2 is well suited for. This lens works well for indoor events. Weight: 460g",Camera,MUMBAI
Portable Camping Tent (2 people),"This is a light weight portable camping tent which can be set up in less than a minute. Just pack and go!! Its constructed with a durable polyester fabric wall & roof, with silver polyurethane and a shock corded fiber glass pole frame. It has a large front entrance equipped with a zipper mesh closure & storm flaps.",Outdoor,Mumbai 
Canon 100mm Macro. USM F2.8 L Series IS,"100mm fixed focal length; F2.8 maximum aperture.Macro focusing: 1:1 maximum magnification. 'Hybrid' image stabilization system for increased effectiveness at close focus distances
\
Weight: 625g",Camera,MUMBAI
Canon 100mm Macro. USM F2.8 L Series IS,100mm fixed focal length; F2.8 maximum aperture.Macro focusing: 1:1 maximum magnification. 'Hybrid' image stabilization system for increased effectiveness at close focus distances Weight: 625g,Camera,MUMBAI
Canon 135mm L Series F2,The Canon EF 135mm L Series F2 USM Lens is renowned for its image sharpness. Its an excellent indoor sports lens. Stage photography as well as portrait photography are good uses of the 135 L. Weight: 750g ,Camera,MUMBAI
Canon 200mm L Series 2.8,"Telephoto lens boasting high image quality and carrying ease. With two UD-glass elements and rear focusing to correct aberrations, image delineation is extremely sharp. Weight: 790g",Camera,MUMBAI
Canon 200mm L Series 2.8,"Telephoto lens boasting high image quality and carrying ease. With two UD-glass elements and rear focusing to correct aberrations, image delineation is extremely sharp. Weight: 790g",Camera,MUMBAI
Canon 600D,"The EOS 600D is powered by an 18-megapixel high image quality CMOS sensor and the powerful DIGIC 4 image processor. Features like Scene Intelligent Auto, Basic+ and Feature Guide make it simple to achieve full control over creative functions. Weight(Body Only): 515g",Camera,MUMBAI
Canon C300,"Featuring a unique Super 35mm Canon CMOS sensor and Canon DIGIC DV III Image Processor the EOS C300 provides outstanding cinema quality movie capture. It is designed to meet the demanding needs of cinema industry professionals, providing a modular, portable and eminently adaptable system of cameras, lenses and accessories built for moviemaking in the 21st century. Weight(Body only): 1630g",Camera,MUMBAI
Canon EF 50mm F2.5 Macro,"A superior-performance lens offering excellent optics and focusing from infinity down to one-half life size (0.5x).  Light and compact, it functions beautifully as a general-purpose normal lens. Weight: 280g",Camera,MUMBAI
Canon L series 24mm Tilt & Shift F3.5,"A superb refinement to a true Canon classic, the TS-E 24mm f/3.5L offers enhanced functionality and image quality in its most popular tilt-shift focal length. The TS rotation lets users freely combine tilting and shifting within the range of +/- 90° in the direction of movement. Weight: 780g",Camera,MUMBAI
Canon L series 45mm Tilt & Shift F2.8,Normal lens featuring tilt and shift movements. The floating system and rear focusing give sharp and stable delineation from 1.3 ft. (0.4m) to infinity. The 45mm focal length is ideal for obtaining a natural-looking perspective. Weight: 645g,Camera,MUMBAI
Canon L series 90mm Tilt & Shift F2.8,"This is the world’s first 35mm-format telephoto lens with tilt and shift movements. Gaussian optics give high-quality delineation and true background blur. The lens is suited for a variety of subjects, from products to portraits. Weight: 565g",Camera,MUMBAI
Canon XF 305,"The Canon XF305 Professional Camcorder features 50Mbps MPEG-2 4:2:2 recording to Compact Flash (CF) cards for unsurpassed image quality and efficient and robust workflow. Customization over the image, display and operation makes the XF305 a camcorder that can be tailored to fit your individual needs. Weight: 2670g",Camera,MUMBAI
Compact Prime CZ TCompact Prime CZ 18mm T3.6,"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. These are non super speed lenses. Weight: 900g",Camera,MUMBAI
Compact Prime CZ 21mm T2.9,"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. This lens is non super speed. Weight: 1000g",Camera,MUMBAI
Compact Prime CZ 25mm T2.9," Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. This is a non super speed lens. Weight: 900g ",Camera,MUMBAI
Compact Prime CZ 35mm T2.1,"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. This is a non super speed lens. Weight: 1000g",Camera,MUMBAI
Compact Prime CZ 50mm T2.1,"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. This is a non super speed lens. Weight: 900g",Camera,MUMBAI
Compact Prime CZ 85mm T2.1,"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. Weight: 900g",Camera,MUMBAI
Compact Prime CZ 18mm T3.6 (Super speed)," Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. Weight: 900g",Camera,MUMBAI
Compact Prime CZ 25mm T2.9 (Super speed),"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. Weight: 900g",Camera,MUMBAI
Compact Prime CZ 35mm T1.5 (Super speed),"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. Weight: 1000g",Camera,MUMBAI
Compact Prime CZ 50mm T1.5 (Super speed),"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. Weight: 900g",Camera,MUMBAI
Compact Prime CZ 85mm T1.5 (Super speed),"Compact Prime lenses offer you the performance you need to get the scene right. With a wide range of focal lengths, full-frame coverage, fantastic image quality, great flare suppression and precise focusing through the large rotation angle, Compact Prime lenses give you a flexible set of tools to make your film shine. Weight: 900g",Camera,MUMBAI
Gopro Hero 2,"The GoPro HD Hero2 boasts improved optics, new video- and still-photo-shooting modes, and backward compatibility with current HD Hero accessories. Simple and easily understandable interface. Weight: 100g",Camera,MUMBAI
Gopro Hero 3 black edition,"The GoPro Hero3 is small, light, and features built-in Wi-Fi connectivity. The Black Edition offers a number of ultra-high-resolution capture modes and high frame rates for standard HD resolutions; burst speeds for still photos is great. This model is considered to be the best sports camera on the market today. Weight: 74g",Camera,MUMBAI
Gopro Hero 4 black edition,The GoPro Hero4 Black delivers best-in-class video at resolutions up to 4K at 30fps or 1080p at 120fps. The Hero 4 Black offers the best video quality with the most shooting options. Weight: 87g,Camera,MUMBAI
Nikkor 14-24 F2.8 AF-S,"Enhanced optical formulas, engineered to produce exceptional sharpness, contrast and color, render outstanding image integrity. Lens barrel is built for comfortable holding while featuring a rugged design; zoom and focusing rings provide smooth operation. Compatible with: Works on every AF film cameras. Weight: 1000g",Camera,MUMBAI
Nikkor 16mm Fisheye Lens F2.8.,Full-frame fisheye images with a picture angle of 180° (diagonal). Close-Range Correction (CRC) system provides high performance at both near and far focusing distances. Compatible with: FX Digital Cameras. Weight 290g,Camera,MUMBAI
Nikkor 24-70 L F2.8 AF-S,"Enhanced optical formulas, engineered to produce exceptional sharpness, contrast and color, render outstanding image integrity. Lens barrel is built for comfortable holding while featuring a rugged design; zoom and focusing rings provide smooth operation. Compatible with: Works on every DX and FX digital SLRs. Weight: 900g. ",Camera,MUMBAI
Nikkor 24-70 L2 F2.8 AF-S,"Enhanced optical formulas, engineered to produce exceptional sharpness, contrast and color, render outstanding image integrity. Lens barrel is built for comfortable holding while featuring a rugged design; zoom and focusing rings provide smooth operation. Compatible with: Works on every DX and FX digital SLRs. Weight: 900g.",Camera,MUMBAI
Nikkor 70-300 AF-S F4-5.6,"The VR minimizes camera shake by offering the equivalent of a shutter speed 2.5 stops faster. The IF design provides a constant lens length and eliminates rotation of the front lens element, facilitating the use of circular polarizing filters. Compatible with: FX and DX Digital SLRs. Weight: 745g ",Camera,MUMBAI
Nikkor 80-200 F2.8 AF-S VR,"Fast and constant f/2.8 maximum aperture through the entire focal range. Rotating zoom ring for precise zoom operation. Compatible with: This is an FX lens, and works especially well with on FX, 35mm and DX Nikons. It works fantastically on manual-focus cameras like the F2AS, F3, FE and FA. Weight: 1300g",Camera,MUMBAI
Nikkor 80-400 F4.5-5.6 AF VR,"5x telephoto zoom lens covering the focal-length range from 80 to 400 mm. VR (Vibration Reduction) minimizes camera shake by offering a shutter speed equivalent to 4.0 stops faster. Compatible with: All Nikon digital camera including FX, DX and new 35mm Nikons. Incompatible with old 35mm Nikons. Weight: 1480g ",Camera,MUMBAI
Nikkor 85mm F1.4,"Newly developed optical system realizes high picture quality and high performance. With the internal focusing (IF) system, the lens barrel length does not change during focusing. Compatible with: Both FX and DX Digital SLRs. Incompatible with old cameras. Weight: 595g",Camera,MUMBAI
Nikkor AF-S 105 macro Lens F2.8. VR,"The VR function minimizes camera shake by offering the equivalent of a shutter speed 3.0 stops faster at near infinity to 3m (1/30x reproduction ratio) shooting. The SWM enables fast and quiet autofocusing, and quick switching between autofocus and manual operation. Compatible with: On most of Nikon DSLRs, incompatible with D40, D40x, or D60. Weight: 750g",Camera,MUMBAI
Nikon 20mm Block F2.8,Versatile ultra-wideangle lens for general photography. Close-Range Correction (CRC) system provides high performance at both near and far focusing distances. Compatible with: FX and DX DSLRs. Weight: 270g,Camera,MUMBAI
Nikon 24-120 F3.5-5.6,"High-power wideangle zoom lens featuring SWM and VR system. Two aspherical lenses and two ED glass elements give higher optical performance. Compatible with: FX and DX DSLRs, incompatible with older cameras. Weight: 575g",Camera,MUMBAI
Nikon 50mm 1.4,"This is a high-performance normal lens. Provides high-contrast image even with maximum aperture. Ideal for travel and full-length portraits in available light. Compatible with: Most of the Nikon DSLRs, incompatible with:  D40, D40x, and D60, Weight: 230g",Camera,MUMBAI
Nikon 70-200 VR2,,Camera,MUMBAI
Nikon D800,"The Nikon D800 is the world's highest technical performance DSLR for outdoor, nature, landscape and many other kinds of precision photography. It has a really good resolution. Weight(Body Only): 900g",Camera,MUMBAI
Nikon D7000,"Superior picture quality throughout a wide ISO sensitivity range of ISO 200 to 6400; can be set to ISO-equivalent 25,600. Nikon's original Scene Recognition System, utilizing the 1,005-pixel RGB sensor, greatly improves autofocus, auto exposure and auto white balance performance. Weight(Body only): 995g",Camera,MUMBAI
Sigma 10-20mm F4-5.6 DC HSM,"This is an Ultra-wideangle zoom lens. Works for Canon, Nikon, Sigma and Four Thirds mounts with built-in HSM focusing motor, and Pentax and Sony mounts with focus driven from camera body (non-HSM version). Weight: 470g",Camera,MUMBAI
Sigma 100-300 F4.5-6.7 DL for Nikon Mount(FX & DX compatible),"This lens covers the most frequently used telephoto focal lengths, making it perfect for a broad range of subjects and applications, from portraiture to sports and nature shooting. Weight: 422g",Camera,MUMBAI
Sony EX3,"The EX3 gives outstanding picture performance, creative features and workflow innovation. Includes studio functions such as genlock and remote control, an interchangeable lens system and new ergonomic features which provide camera operators further flexibility in whatever style of production is chosen. Weight(Body only): 1900g",Camera,MUMBAI
Sony NX5,"The NX5E is the first camcorder of its class to feature a built-in GPS locator, high quality Linear PCM audio recording and new Active SteadyShot stabilisation technology.  It records stunning quality 1920 x 1080 images at 24Mbps (50i or 25p), as well as supporting 720/50p and Standard Definition recording. Weight: 2000g",Camera,MUMBAI
Sony PXW Z100 (4K),"The PXW-Z100 can be used in the same way as conventional professional handy-type cameras, 4K content can be recorded by a minimal number of staff. In addition, during editing for a HD project, 4K source material provides significant additional creative options. Weight: 2460g",Camera,MUMBAI
Sony PMW 150,"The PMW-150 is a compact camcorder with three 1/3-inch-type Full-HD sensors. It is widely accepted in broadcasting stations and production houses – helps boost user creativity in many different applications, including news gathering and documentary production. Weight (Body only): 2100g ",Camera,MUMBAI
Tamron 150-600mm F/5-6.3,This lens has a full-time manual focus mechanism and consists of removable tripod mount. Compatibility: Canon EF mount lens. Weight: 2812g,Camera,MUMBAI
Tokina 11-16 Lens F2.8. Canon mount,"This compact ultra wide-angle zoom has a bright constant F/2.8 aperture make viewing and auto focus possible in lower light situations but still maintaining a reasonable size and weight. compatible with: Canon, Weight: 550g",Camera,MUMBAI
Tokina 11-16 Lens F2.8. Nikon mount,"This compact ultra wide-angle zoom has a bright constant F/2.8 aperture make viewing and auto focus possible in lower light situations but still maintaining a reasonable size and weight. compatible with: Nikon, Weight: 550g",Camera,MUMBAI
Sony Alpha A7S,Alpha A7S is the world's smallest full frame interchangeable lens camera. Compatible with sony E-mount lenses. Connectivity with smart phones for one touch sharing. Weight(Body only): 446g,Camera,MUMBAI
Canon 14mm L series F2.8,This is a great ultra-wide angle EF lens. A bulging convex front lens element and a built-in metal lens hood are identity features of this lens and gives an amazing optical performance. Weight: 645g,Camera,MUMBAI
Canon 24mm L series F1.4,"The wide aperture makes the Canon EF 24mm f/1.4L USM Lens suitable for low-light and low-light action photography. Suitable to use for portraits at a distance such as environmental portraits, group photos, stage photography, etc. Weight: 550g ",Camera,MUMBAI
Canon 18- 200 mm. EFS. F3.5-5.6,This is a good travel lens. This lens offers a great focal length range and excellent image stabilization in a compact package. Weight: 600g,Camera,MUMBAI
Ziess ZF2 lens kit,,Camera,MUMBAI
Prestige PPBB 02 Barbecue Set,Compact and foldable ultra-light portable barbeque grill. Weight - 850 grams. Material - Stainless Steel. Color - Steel Grey. Size - 11.25\,2015-06-03 06:38:57,Outdoor
